ticket_id,created_at,category,priority,channel,assigned_team,agent,current_stage,status,first_response_hours,waiting_hours,resolution_hours,queue_age_hours,sla_hours,sla_breach,customer_satisfaction
TKT-00018,2025-01-01 03:41:33.303815190,Technical Issue,Medium,Email,Tier 2,T2-Agent-02,Resolved,Resolved,14.48,9.17,72.71,9.17,48,True,2.46
TKT-00019,2025-01-01 03:54:35.262863143,Bug Report,High,Chat,Tier 3,T3-Agent-05,Resolved,Resolved,10.22,31.23,59.17,31.23,24,True,2.99
TKT-00020,2025-01-01 04:07:37.221911095,Product Question,Medium,Chat,Tier 1,T1-Agent-06,Resolved,Resolved,2.1,1.8,10.33,1.8,48,False,4.55
TKT-00021,2025-01-01 04:20:39.180959047,Bug Report,Critical,Email,Tier 3,T3-Agent-02,Resolved,Resolved,9.93,5.43,55.02,5.43,8,True,3.66
TKT-00022,2025-01-01 04:33:41.140007000,Account & Access,High,Web Form,Tier 1,T1-Agent-04,Resolved,Resolved,6.14,8.39,23.39,8.39,24,False,4.54
TKT-00023,2025-01-01 04:46:43.099054952,Security,Medium,Chat,Tier 3,T3-Agent-01,Resolved,Resolved,10.25,11.78,40.13,11.78,48,False,4.29
TKT-00024,2025-01-01 04:59:45.058102905,Feature Request,Low,Email,Tier 3,T3-Agent-05,Resolved,Resolved,2.81,9.18,49.63,9.18,72,False,3.81
TKT-00025,2025-01-01 05:12:47.017150857,Bug Report,Critical,Email,Tier 3,T3-Agent-06,Resolved,Resolved,3.19,62.75,106.77,62.75,8,True,2.4
TKT-00026,2025-01-01 05:25:48.976198809,Technical Issue,Medium,Email,Tier 2,T2-Agent-08,Resolved,Resolved,10.44,30.88,76.95,30.88,48,True,2.14
TKT-00027,2025-01-01 05:38:50.935246762,Billing,Medium,Phone,Tier 1,T1-Agent-04,Resolved,Resolved,0.76,8.26,14.15,8.26,48,False,4.48
TKT-00028,2025-01-01 05:51:52.894294714,Technical Issue,Medium,Email,Tier 2,T2-Agent-09,Resolved,Resolved,21.81,52.67,105.29,52.67,48,True,2.03
TKT-00029,2025-01-01 06:04:54.853342667,Technical Issue,High,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,5.45,112.41,167.97,112.41,24,True,1.55
TKT-00030,2025-01-01 06:17:56.812390619,Integration/API,Medium,Web Form,Tier 3,T3-Agent-02,Resolved,Resolved,4.72,44.73,56.67,44.73,48,True,2.11
TKT-00031,2025-01-01 06:30:58.771438571,Integration/API,Medium,Email,Tier 2,T2-Agent-05,Waiting for Agent,Open,3.21,15.74,40.73,27.38,48,False,3.76
TKT-00032,2025-01-01 06:44:00.730486524,Security,High,Chat,Tier 3,T3-Agent-04,Resolved,Resolved,1.64,63.99,125.89,63.99,24,True,1.41
TKT-00033,2025-01-01 06:57:02.689534476,Account & Access,High,Chat,Tier 1,T1-Agent-10,In Progress,In Progress,5.15,7.89,12.41,33.8,24,False,5.0
TKT-00034,2025-01-01 07:10:04.648582429,Account & Access,Medium,Phone,Tier 1,T1-Agent-08,Resolved,Resolved,2.84,6.16,17.33,6.16,48,False,5.0
TKT-00035,2025-01-01 07:23:06.607630381,Billing,Medium,Chat,Tier 1,T1-Agent-07,Resolved,Resolved,4.16,4.58,16.4,4.58,48,False,4.06
TKT-00036,2025-01-01 07:36:08.566678333,Technical Issue,High,Email,Tier 2,T2-Agent-06,Resolved,Resolved,14.1,39.32,62.31,39.32,24,True,3.88
TKT-00037,2025-01-01 07:49:10.525726286,Technical Issue,Medium,Email,Tier 2,T2-Agent-08,Resolved,Resolved,2.85,38.0,59.61,38.0,48,True,2.69
TKT-00038,2025-01-01 08:02:12.484774238,Billing,Medium,Chat,Tier 1,T1-Agent-04,In Progress,In Progress,10.66,2.0,8.28,15.39,48,False,4.92
TKT-00039,2025-01-01 08:15:14.443822191,Technical Issue,Medium,Chat,Tier 2,T2-Agent-03,Resolved,Resolved,7.43,42.96,87.81,42.96,48,True,3.28
TKT-00040,2025-01-01 08:28:16.402870143,Integration/API,Medium,Phone,Tier 3,T3-Agent-05,Resolved,Resolved,12.84,4.18,50.97,4.18,48,True,3.69
TKT-00041,2025-01-01 08:41:18.361918095,Billing,High,Email,Tier 1,T1-Agent-11,Resolved,Resolved,3.03,15.29,33.27,15.29,24,True,4.53
TKT-00042,2025-01-01 08:54:20.320966048,Bug Report,Medium,Email,Tier 3,T3-Agent-04,Resolved,Resolved,2.19,11.36,36.86,11.36,48,False,4.21
TKT-00043,2025-01-01 09:07:22.280014000,Integration/API,Critical,Chat,Tier 2,T2-Agent-08,Waiting for Customer,Open,12.01,7.07,60.13,14.23,8,True,3.5
TKT-00044,2025-01-01 09:20:24.239061953,Account & Access,Low,Email,Tier 1,T1-Agent-14,In Progress,In Progress,5.1,1.55,15.94,10.88,72,False,5.0
TKT-00045,2025-01-01 09:33:26.198109905,Bug Report,High,Chat,Tier 3,T3-Agent-03,Resolved,Resolved,10.26,30.28,86.55,30.28,24,True,2.65
TKT-00046,2025-01-01 09:46:28.157157857,Bug Report,High,Email,Tier 3,T3-Agent-04,Resolved,Resolved,5.74,61.02,137.26,61.02,24,True,2.04
TKT-00047,2025-01-01 09:59:30.116205810,Account & Access,High,Web Form,Tier 1,T1-Agent-13,Resolved,Resolved,2.96,5.92,10.68,5.92,24,False,4.43
TKT-00048,2025-01-01 10:12:32.075253762,Account & Access,Low,Email,Tier 1,T1-Agent-11,Resolved,Resolved,2.89,0.42,6.33,0.42,72,False,4.63
TKT-00049,2025-01-01 10:25:34.034301715,Integration/API,Medium,Chat,Tier 2,T2-Agent-02,Resolved,Resolved,17.11,19.43,94.24,19.43,48,True,2.36
TKT-00050,2025-01-01 10:38:35.993349667,Technical Issue,High,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,13.59,7.79,55.03,7.79,24,True,2.95
TKT-00051,2025-01-01 10:51:37.952397619,Technical Issue,Medium,Email,Tier 2,T2-Agent-07,Resolved,Resolved,8.18,8.25,72.74,8.25,48,True,3.56
TKT-00052,2025-01-01 11:04:39.911445572,Technical Issue,High,Chat,Tier 2,T2-Agent-02,Resolved,Resolved,7.07,27.58,116.24,27.58,24,True,1.15
TKT-00053,2025-01-01 11:17:41.870493524,Bug Report,Critical,Chat,Tier 3,T3-Agent-05,Resolved,Resolved,7.53,32.67,490.25,32.67,8,True,1.0
TKT-00054,2025-01-01 11:30:43.829541477,Integration/API,Low,Web Form,Tier 2,T2-Agent-10,Resolved,Resolved,6.41,11.71,37.17,11.71,72,False,4.55
TKT-00055,2025-01-01 11:43:45.788589429,Integration/API,High,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,12.04,15.05,127.47,15.05,24,True,2.12
TKT-00056,2025-01-01 11:56:47.747637381,Bug Report,Low,Chat,Tier 3,T3-Agent-04,Resolved,Resolved,6.89,5.62,43.34,5.62,72,False,4.35
TKT-00057,2025-01-01 12:09:49.706685334,Billing,High,Chat,Tier 1,T1-Agent-11,Escalated,In Progress,2.26,3.23,12.71,21.0,24,False,4.48
TKT-00058,2025-01-01 12:22:51.665733286,Product Question,Critical,Chat,Tier 3,T3-Agent-03,Resolved,Resolved,8.07,10.39,96.12,10.39,8,True,1.86
TKT-00059,2025-01-01 12:35:53.624781239,Technical Issue,High,Web Form,Tier 2,T2-Agent-08,Resolved,Resolved,2.74,27.28,115.48,27.28,24,True,1.96
TKT-00060,2025-01-01 12:48:55.583829191,Technical Issue,Critical,Email,Tier 2,T2-Agent-10,Resolved,Resolved,16.89,124.31,141.79,124.31,8,True,1.9
TKT-00061,2025-01-01 13:01:57.542877143,Integration/API,High,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,0.92,5.69,187.84,5.69,24,True,1.0
TKT-00062,2025-01-01 13:14:59.501925096,Billing,Low,Phone,Tier 1,T1-Agent-04,Resolved,Resolved,0.8,4.34,10.17,4.34,72,False,4.93
TKT-00063,2025-01-01 13:28:01.460973048,Product Question,Low,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,0.67,6.17,8.6,6.17,72,False,4.09
TKT-00064,2025-01-01 13:41:03.420021001,Bug Report,Low,Chat,Tier 3,T3-Agent-05,Resolved,Resolved,0.42,51.49,102.38,51.49,72,True,1.88
TKT-00065,2025-01-01 13:54:05.379068953,Product Question,Medium,Web Form,Tier 1,T1-Agent-12,Resolved,Resolved,1.94,3.95,10.83,3.95,48,False,5.0
TKT-00066,2025-01-01 14:07:07.338116905,Product Question,Medium,Chat,Tier 1,T1-Agent-04,Resolved,Resolved,5.13,2.19,6.93,2.19,48,False,4.9
TKT-00067,2025-01-01 14:20:09.297164858,Product Question,Medium,Chat,Tier 1,T1-Agent-15,Resolved,Resolved,0.4,0.84,23.1,0.84,48,False,4.06
TKT-00068,2025-01-01 14:33:11.256212810,Account & Access,Medium,Email,Tier 1,T1-Agent-07,Waiting for Agent,Open,2.96,0.79,14.02,4.42,48,False,4.49
TKT-00069,2025-01-01 14:46:13.215260763,Technical Issue,Medium,Email,Tier 2,T2-Agent-05,Resolved,Resolved,15.58,9.91,62.02,9.91,48,True,2.46
TKT-00070,2025-01-01 14:59:15.174308715,Billing,Low,Email,Tier 1,T1-Agent-06,Resolved,Resolved,2.37,5.21,7.8,5.21,72,False,4.26
TKT-00071,2025-01-01 15:12:17.133356667,Technical Issue,Medium,Web Form,Tier 2,T2-Agent-01,Resolved,Resolved,6.79,11.74,61.91,11.74,48,True,2.58
TKT-00072,2025-01-01 15:25:19.092404620,Billing,Critical,Chat,Tier 1,T1-Agent-12,Resolved,Resolved,1.68,5.06,21.05,5.06,8,True,3.91
TKT-00073,2025-01-01 15:38:21.051452572,Bug Report,High,Phone,Tier 3,T3-Agent-03,Waiting for Agent,Open,3.99,23.37,65.86,37.74,24,True,3.04
TKT-00074,2025-01-01 15:51:23.010500525,Technical Issue,Medium,Email,Tier 2,T2-Agent-05,Resolved,Resolved,13.93,50.02,120.86,50.02,48,True,1.78
TKT-00075,2025-01-01 16:04:24.969548477,Technical Issue,Medium,Email,Tier 2,T2-Agent-06,Waiting for Agent,Open,5.47,38.04,72.5,46.29,48,True,2.33
TKT-00076,2025-01-01 16:17:26.928596429,Account & Access,Critical,Chat,Tier 1,T1-Agent-06,Resolved,Resolved,2.23,10.79,15.56,10.79,8,True,4.86
TKT-00077,2025-01-01 16:30:28.887644382,Account & Access,Medium,Email,Tier 1,T1-Agent-02,Resolved,Resolved,0.93,3.39,9.86,3.39,48,False,4.81
TKT-00078,2025-01-01 16:43:30.846692334,Integration/API,High,Chat,Tier 2,T2-Agent-03,Resolved,Resolved,9.86,16.03,74.35,16.03,24,True,3.64
TKT-00079,2025-01-01 16:56:32.805740287,Product Question,Low,Email,Tier 1,T1-Agent-09,Resolved,Resolved,0.57,5.43,9.74,5.43,72,False,4.1
TKT-00080,2025-01-01 17:09:34.764788239,Bug Report,Medium,Email,Tier 3,T3-Agent-06,Resolved,Resolved,6.26,32.03,65.81,32.03,48,True,3.47
TKT-00081,2025-01-01 17:22:36.723836191,Integration/API,High,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,8.9,43.26,101.83,43.26,24,True,2.09
TKT-00082,2025-01-01 17:35:38.682884144,Billing,Medium,Chat,Tier 1,T1-Agent-04,Escalated,In Progress,7.66,1.18,3.78,30.15,48,False,4.4
TKT-00083,2025-01-01 17:48:40.641932096,Bug Report,High,Email,Tier 3,T3-Agent-02,Resolved,Resolved,2.41,77.44,105.94,77.44,24,True,2.89
TKT-00084,2025-01-01 18:01:42.600980049,Technical Issue,Medium,Email,Tier 2,T2-Agent-05,Resolved,Resolved,10.46,74.53,115.86,74.53,48,True,2.29
TKT-00085,2025-01-01 18:14:44.560028001,Technical Issue,Critical,Email,Tier 2,T2-Agent-10,Resolved,Resolved,12.6,43.65,262.01,43.65,8,True,1.0
TKT-00086,2025-01-01 18:27:46.519075953,Technical Issue,High,Email,Tier 2,T2-Agent-05,Resolved,Resolved,12.67,38.2,43.06,38.2,24,True,2.85
TKT-00087,2025-01-01 18:40:48.478123906,Integration/API,Critical,Phone,Tier 2,T2-Agent-03,Resolved,Resolved,5.72,62.12,93.23,62.12,8,True,2.57
TKT-00088,2025-01-01 18:53:50.437171858,Billing,Low,Web Form,Tier 1,T1-Agent-08,Resolved,Resolved,0.59,6.26,13.37,6.26,72,False,4.21
TKT-00089,2025-01-01 19:06:52.396219810,Technical Issue,Medium,Email,Tier 2,T2-Agent-10,Resolved,Resolved,5.27,40.0,105.32,40.0,48,True,1.77
TKT-00090,2025-01-01 19:19:54.355267763,Billing,Medium,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,2.7,2.12,12.04,2.12,48,False,4.79
TKT-00091,2025-01-01 19:32:56.314315715,Technical Issue,High,Email,Tier 2,T2-Agent-08,Resolved,Resolved,11.85,40.38,162.3,40.38,24,True,1.74
TKT-00092,2025-01-01 19:45:58.273363668,Integration/API,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,7.28,54.44,87.64,54.44,24,True,2.21
TKT-00093,2025-01-01 19:59:00.232411620,Billing,Medium,Phone,Tier 3,T3-Agent-01,Resolved,Resolved,13.23,23.71,114.96,23.71,48,True,1.78
TKT-00094,2025-01-01 20:12:02.191459572,Account & Access,Low,Email,Tier 1,T1-Agent-03,Resolved,Resolved,0.81,1.74,10.89,1.74,72,False,4.42
TKT-00095,2025-01-01 20:25:04.150507525,Account & Access,Low,Web Form,Tier 1,T1-Agent-04,Resolved,Resolved,2.62,4.31,8.46,4.31,72,False,4.77
TKT-00096,2025-01-01 20:38:06.109555477,Product Question,Low,Web Form,Tier 1,T1-Agent-11,Resolved,Resolved,0.75,0.34,7.65,0.34,72,False,5.0
TKT-00097,2025-01-01 20:51:08.068603430,Account & Access,High,Web Form,Tier 1,T1-Agent-04,Resolved,Resolved,3.77,2.77,4.79,2.77,24,False,4.88
TKT-00098,2025-01-01 21:04:10.027651382,Technical Issue,Medium,Chat,Tier 3,T3-Agent-01,Resolved,Resolved,3.14,9.64,53.25,9.64,48,True,3.01
TKT-00099,2025-01-01 21:17:11.986699334,Technical Issue,Medium,Email,Tier 2,T2-Agent-05,Resolved,Resolved,3.02,21.9,79.81,21.9,48,True,2.45
TKT-00100,2025-01-01 21:30:13.945747287,Security,High,Web Form,Tier 3,T3-Agent-01,Resolved,Resolved,7.35,14.19,115.23,14.19,24,True,2.46
TKT-00101,2025-01-01 21:43:15.904795239,Feature Request,Low,Web Form,Tier 2,T2-Agent-09,Resolved,Resolved,3.61,22.1,55.47,22.1,72,False,4.39
TKT-00102,2025-01-01 21:56:17.863843192,Integration/API,Critical,Chat,Tier 2,T2-Agent-01,Resolved,Resolved,8.71,17.36,125.23,17.36,8,True,1.73
TKT-00103,2025-01-01 22:09:19.822891144,Account & Access,Medium,Email,Tier 1,T1-Agent-03,Resolved,Resolved,1.29,2.53,4.76,2.53,48,False,4.52
TKT-00104,2025-01-01 22:22:21.781939096,Security,Critical,Email,Tier 3,T3-Agent-06,Resolved,Resolved,3.14,111.24,168.17,111.24,8,True,1.56
TKT-00105,2025-01-01 22:35:23.740987049,Bug Report,High,Email,Tier 3,T3-Agent-06,Resolved,Resolved,5.57,8.78,145.02,8.78,24,True,1.05
TKT-00106,2025-01-01 22:48:25.700035001,Integration/API,High,Email,Tier 2,T2-Agent-09,Resolved,Resolved,9.14,24.81,60.78,24.81,24,True,3.26
TKT-00107,2025-01-01 23:01:27.659082954,Billing,Medium,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,1.72,2.11,5.24,2.11,48,False,5.0
TKT-00108,2025-01-01 23:14:29.618130906,Account & Access,Medium,Web Form,Tier 1,T1-Agent-05,Resolved,Resolved,1.87,6.39,22.99,6.39,48,False,5.0
TKT-00109,2025-01-01 23:27:31.577178858,Technical Issue,High,Chat,Tier 2,T2-Agent-10,Resolved,Resolved,14.69,35.98,144.39,35.98,24,True,1.7
TKT-00110,2025-01-01 23:40:33.536226811,Feature Request,Low,Chat,Tier 2,T2-Agent-07,Resolved,Resolved,1.4,16.76,37.7,16.76,72,False,4.6
TKT-00111,2025-01-01 23:53:35.495274763,Billing,High,Web Form,Tier 3,T3-Agent-01,Resolved,Resolved,1.81,18.15,41.37,18.15,24,True,3.77
TKT-00112,2025-01-02 00:06:37.454322716,Technical Issue,Medium,Chat,Tier 2,T2-Agent-02,Resolved,Resolved,9.55,28.55,50.63,28.55,48,True,3.03
TKT-00113,2025-01-02 00:19:39.413370668,Account & Access,Medium,Chat,Tier 1,T1-Agent-14,Resolved,Resolved,4.08,4.51,12.6,4.51,48,False,4.33
TKT-00114,2025-01-02 00:32:41.372418620,Product Question,Medium,Web Form,Tier 1,T1-Agent-12,Resolved,Resolved,4.68,0.63,29.39,0.63,48,False,4.29
TKT-00115,2025-01-02 00:45:43.331466573,Technical Issue,High,Email,Tier 2,T2-Agent-01,Resolved,Resolved,18.86,45.77,118.0,45.77,24,True,2.84
TKT-00116,2025-01-02 00:58:45.290514525,Bug Report,High,Phone,Tier 3,T3-Agent-06,Resolved,Resolved,2.95,48.96,134.38,48.96,24,True,2.0
TKT-00117,2025-01-02 01:11:47.249562478,Bug Report,High,Email,Tier 3,T3-Agent-04,Resolved,Resolved,5.71,13.93,70.82,13.93,24,True,3.11
TKT-00118,2025-01-02 01:24:49.208610430,Integration/API,Low,Chat,Tier 2,T2-Agent-10,Resolved,Resolved,3.04,25.2,59.77,25.2,72,False,3.27
TKT-00119,2025-01-02 01:37:51.167658382,Billing,Medium,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,5.58,4.27,45.7,4.27,48,False,4.03
TKT-00120,2025-01-02 01:50:53.126706335,Product Question,Low,Chat,Tier 3,T3-Agent-04,Waiting for Agent,In Progress,3.76,2.93,10.63,15.91,72,False,3.68
TKT-00121,2025-01-02 02:03:55.085754287,Product Question,High,Chat,Tier 1,T1-Agent-01,Resolved,Resolved,0.31,2.31,17.72,2.31,24,False,4.62
TKT-00122,2025-01-02 02:16:57.044802240,Product Question,Medium,Email,Tier 1,T1-Agent-07,Resolved,Resolved,3.53,3.68,10.55,3.68,48,False,5.0
TKT-00123,2025-01-02 02:29:59.003850192,Technical Issue,Critical,Web Form,Tier 2,T2-Agent-09,Waiting for Agent,In Progress,13.31,25.36,100.75,56.92,8,True,2.11
TKT-00124,2025-01-02 02:43:00.962898144,Billing,Medium,Chat,Tier 1,T1-Agent-06,Resolved,Resolved,0.81,1.46,13.14,1.46,48,False,4.1
TKT-00125,2025-01-02 02:56:02.921946097,Technical Issue,High,Chat,Tier 2,T2-Agent-04,Resolved,Resolved,1.44,24.59,59.73,24.59,24,True,2.6
TKT-00126,2025-01-02 03:09:04.880994049,Billing,High,Web Form,Tier 1,T1-Agent-05,Resolved,Resolved,6.2,6.35,19.22,6.35,24,False,4.03
TKT-00127,2025-01-02 03:22:06.840042002,Account & Access,Medium,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,2.6,0.55,4.04,0.55,48,False,4.39
TKT-00128,2025-01-02 03:35:08.799089954,Technical Issue,High,Web Form,Tier 2,T2-Agent-01,Resolved,Resolved,10.85,39.28,74.27,39.28,24,True,3.5
TKT-00129,2025-01-02 03:48:10.758137906,Technical Issue,Low,Email,Tier 2,T2-Agent-05,Resolved,Resolved,6.81,10.15,35.17,10.15,72,False,4.18
TKT-00130,2025-01-02 04:01:12.717185859,Product Question,Low,Email,Tier 1,T1-Agent-04,Resolved,Resolved,1.36,0.94,2.55,0.94,72,False,4.17
TKT-00131,2025-01-02 04:14:14.676233811,Technical Issue,Medium,Email,Tier 2,T2-Agent-09,Resolved,Resolved,3.7,14.88,57.54,14.88,48,True,2.16
TKT-00132,2025-01-02 04:27:16.635281764,Feature Request,Medium,Phone,Tier 2,T2-Agent-06,Resolved,Resolved,5.22,14.4,33.29,14.4,48,False,3.84
TKT-00133,2025-01-02 04:40:18.594329716,Product Question,High,Web Form,Tier 1,T1-Agent-05,Resolved,Resolved,1.13,5.04,5.81,5.04,24,False,4.03
TKT-00134,2025-01-02 04:53:20.553377668,Account & Access,Medium,Web Form,Tier 1,T1-Agent-05,Resolved,Resolved,3.22,2.97,6.64,2.97,48,False,4.01
TKT-00135,2025-01-02 05:06:22.512425621,Product Question,Medium,Chat,Tier 3,T3-Agent-05,Resolved,Resolved,5.3,1.89,24.99,1.89,48,False,4.38
TKT-00136,2025-01-02 05:19:24.471473573,Technical Issue,Medium,Email,Tier 2,T2-Agent-08,Resolved,Resolved,5.59,23.02,70.87,23.02,48,True,3.14
TKT-00137,2025-01-02 05:32:26.430521526,Security,Low,Chat,Tier 3,T3-Agent-06,Resolved,Resolved,0.92,6.24,55.95,6.24,72,False,3.42
TKT-00138,2025-01-02 05:45:28.389569478,Billing,Low,Chat,Tier 1,T1-Agent-12,Resolved,Resolved,2.85,5.69,12.48,5.69,72,False,4.67
TKT-00139,2025-01-02 05:58:30.348617430,Bug Report,High,Email,Tier 3,T3-Agent-01,Resolved,Resolved,2.89,9.28,116.94,9.28,24,True,1.56
TKT-00140,2025-01-02 06:11:32.307665383,Technical Issue,High,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,33.49,43.44,100.9,43.44,24,True,1.41
TKT-00141,2025-01-02 06:24:34.266713335,Billing,Medium,Web Form,Tier 3,T3-Agent-01,Resolved,Resolved,3.52,3.64,16.58,3.64,48,False,5.0
TKT-00142,2025-01-02 06:37:36.225761288,Billing,Low,Email,Tier 1,T1-Agent-14,Resolved,Resolved,1.36,1.69,3.61,1.69,72,False,4.94
TKT-00143,2025-01-02 06:50:38.184809240,Feature Request,Medium,Web Form,Tier 2,T2-Agent-08,Waiting for Agent,In Progress,7.39,25.28,89.33,46.28,48,True,2.84
TKT-00144,2025-01-02 07:03:40.143857192,Product Question,High,Chat,Tier 3,T3-Agent-05,In Progress,In Progress,0.2,44.94,55.9,80.6,24,True,3.58
TKT-00145,2025-01-02 07:16:42.102905145,Billing,Low,Email,Tier 1,T1-Agent-11,Resolved,Resolved,0.48,1.36,2.04,1.36,72,False,4.79
TKT-00146,2025-01-02 07:29:44.061953097,Account & Access,Medium,Email,Tier 1,T1-Agent-02,Resolved,Resolved,3.32,3.01,4.85,3.01,48,False,4.78
TKT-00147,2025-01-02 07:42:46.021001050,Account & Access,Medium,Chat,Tier 1,T1-Agent-11,Resolved,Resolved,2.36,0.88,8.24,0.88,48,False,4.56
TKT-00148,2025-01-02 07:55:47.980049002,Product Question,Medium,Web Form,Tier 1,T1-Agent-13,Resolved,Resolved,3.37,10.01,12.37,10.01,48,False,5.0
TKT-00149,2025-01-02 08:08:49.939096954,Billing,Low,Chat,Tier 1,T1-Agent-10,Resolved,Resolved,0.06,6.76,15.66,6.76,72,False,4.43
TKT-00150,2025-01-02 08:21:51.898144907,Technical Issue,Critical,Email,Tier 2,T2-Agent-09,Resolved,Resolved,4.92,10.57,85.91,10.57,8,True,2.4
TKT-00151,2025-01-02 08:34:53.857192859,Bug Report,High,Email,Tier 3,T3-Agent-04,Resolved,Resolved,11.39,17.53,66.25,17.53,24,True,2.53
TKT-00152,2025-01-02 08:47:55.816240812,Feature Request,Medium,Web Form,Tier 2,T2-Agent-04,Resolved,Resolved,3.21,3.08,25.74,3.08,48,False,4.84
TKT-00153,2025-01-02 09:00:57.775288764,Technical Issue,High,Chat,Tier 2,T2-Agent-05,Resolved,Resolved,25.55,6.35,66.79,6.35,24,True,3.03
TKT-00154,2025-01-02 09:13:59.734336716,Product Question,High,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,13.1,12.47,15.01,12.47,24,False,4.24
TKT-00155,2025-01-02 09:27:01.693384669,Technical Issue,High,Email,Tier 2,T2-Agent-03,Resolved,Resolved,7.27,57.97,173.82,57.97,24,True,1.33
TKT-00156,2025-01-02 09:40:03.652432621,Integration/API,High,Web Form,Tier 3,T3-Agent-01,Resolved,Resolved,7.49,41.04,207.91,41.04,24,True,1.44
TKT-00157,2025-01-02 09:53:05.611480574,Account & Access,Low,Chat,Tier 1,T1-Agent-08,Resolved,Resolved,0.84,4.67,5.96,4.67,72,False,3.68
TKT-00158,2025-01-02 10:06:07.570528526,Integration/API,High,Email,Tier 2,T2-Agent-03,Resolved,Resolved,14.82,60.37,84.94,60.37,24,True,2.73
TKT-00159,2025-01-02 10:19:09.529576478,Integration/API,Medium,Chat,Tier 2,T2-Agent-06,Resolved,Resolved,8.35,6.94,86.51,6.94,48,True,3.2
TKT-00160,2025-01-02 10:32:11.488624431,Bug Report,Critical,Web Form,Tier 3,T3-Agent-06,Resolved,Resolved,26.29,15.74,72.63,15.74,8,True,3.51
TKT-00161,2025-01-02 10:45:13.447672383,Technical Issue,Medium,Phone,Tier 2,T2-Agent-07,Resolved,Resolved,4.44,47.64,80.82,47.64,48,True,2.56
